call_id,customer_id,call_date,duration_minutes,call_type
300001,19,2024-02-10,3,local
300002,6360,2024-08-16,49,local
300003,9357,2024-10-12,24,roaming
300004,5038,2023-02-19,23,roaming
300005,10548,2023-05-16,7,roaming
300006,8625,2024-08-10,40,local
300007,3070,2023-01-01,51,international
300008,7618,2024-05-25,13,local
300009,8736,2024-05-30,57,local
300010,5403,2023-08-24,2,local
300011,9502,2023-08-14,14,local
300012,6347,2025-03-27,59,international
300013,7354,2023-03-04,23,local
300014,9247,2024-05-20,38,local
300015,5791,2023-08-28,35,international
300016,1657,2024-12-23,50,local
300017,11406,2024-04-04,38,roaming
300018,1704,2025-03-17,15,local
300019,6124,2023-08-14,59,local
300020,2293,2024-12-20,23,roaming
300021,9185,2024-06-05,51,international
300022,10568,2025-03-10,45,local
300023,4978,2025-02-15,6,international
300024,2832,2024-05-12,18,local
300025,2247,2023-04-10,9,roaming
300026,1837,2023-04-01,48,international
300027,4933,2024-10-29,18,international
300028,10601,2024-06-10,49,international
300029,253,2023-05-30,44,international
300030,6679,2024-12-15,5,local
300031,11120,2024-12-08,5,international
300032,8750,2023-04-06,57,local
300033,8107,2023-04-15,16,international
300034,7940,2024-11-25,38,roaming
300035,8024,2023-08-26,1,roaming
300036,10391,2024-10-07,22,local
300037,11560,2023-11-07,41,international
300038,171,2024-04-02,13,international
300039,2818,2023-02-28,20,local
300040,3987,2024-10-12,12,roaming
300041,4889,2023-01-10,19,international
300042,336,2023-04-16,11,local
300043,7291,2024-07-23,22,international
300044,11596,2024-10-17,57,local
300045,10748,2025-02-13,20,local
300046,6553,2023-03-13,18,international
300047,5975,2025-04-23,3,local
300048,2563,2024-09-06,2,international
300049,3913,2023-03-26,59,local
300050,8666,2024-03-21,35,international
300051,7011,2024-04-13,29,international
300052,6282,2023-10-28,26,roaming
300053,8219,2025-03-01,43,local
300054,6272,2023-09-05,14,local
300055,570,2024-08-05,19,roaming
300056,1551,2024-02-21,33,international
300057,3123,2023-03-29,57,roaming
300058,9481,2024-11-06,39,local
300059,11269,2024-06-21,31,local
300060,1102,2025-02-13,20,international
300061,1852,2024-06-11,31,local
300062,10294,2024-12-23,11,international
300063,11428,2025-04-21,15,roaming
300064,2121,2023-09-30,52,international
300065,7563,2024-07-05,50,local
300066,1461,2023-11-09,45,international
300067,4591,2023-06-11,22,local
300068,8326,2025-04-09,34,roaming
300069,2880,2023-09-01,10,international
300070,10362,2023-07-23,40,international
300071,9360,2024-03-18,55,roaming
300072,11838,2023-11-09,46,roaming
300073,7337,2024-11-25,53,international
300074,3490,2023-06-02,16,international
300075,2572,2023-09-19,56,roaming
300076,11688,2025-01-02,11,roaming
300077,2715,2024-10-26,6,local
300078,3777,2023-05-22,20,local
300079,6446,2023-03-15,34,international
300080,11227,2024-09-21,42,international
300081,6623,2023-01-21,23,international
300082,9642,2025-04-12,59,local
300083,7337,2023-09-16,60,international
300084,443,2024-01-11,47,roaming
300085,6663,2024-09-24,23,roaming
300086,8583,2023-06-21,25,local
300087,7037,2025-01-24,38,local
300088,3272,2023-10-11,15,roaming
300089,8558,2024-11-22,49,local
300090,2559,2025-02-22,22,roaming
300091,771,2023-07-09,21,international
300092,2773,2023-03-27,39,international
300093,4427,2024-05-01,28,local
300094,4911,2025-01-20,20,local
300095,4872,2023-05-31,18,local
300096,4729,2023-05-30,45,roaming
300097,6824,2023-11-19,25,local
300098,6921,2023-03-14,56,international
300099,898,2023-09-20,26,international
300100,4035,2023-01-28,57,roaming
300101,444,2024-03-25,11,international
300102,7587,2024-02-07,58,international
300103,11298,2023-01-11,59,international
300104,11770,2023-08-12,5,local
300105,10105,2024-12-21,31,roaming
300106,3437,2024-04-18,19,international
300107,6165,2024-01-24,51,roaming
