usage_id,customer_id,usage_date,data_used_mb
400001,849,2024-01-31,4054
400002,7259,2023-09-20,3137
400003,8208,2025-01-01,469
400004,3327,2025-03-25,55
400005,7787,2024-10-17,2917
400006,6692,2025-04-12,1070
400007,1500,2023-08-13,4268
400008,10801,2024-12-17,4769
400009,678,2024-11-13,2556
400010,964,2024-02-24,1242
400011,6830,2024-05-14,2527
400012,9653,2023-03-22,3674
400013,4567,2024-12-10,3021
400014,5274,2023-10-23,3429
400015,8432,2023-03-23,2821
400016,9809,2025-03-28,2707
400017,7221,2025-06-16,3301
400018,10161,2024-02-26,1381
400019,5782,2024-06-08,3136
400020,6889,2024-11-27,3148
400021,3170,2025-01-22,324
400022,4127,2025-01-17,4805
400023,7085,2025-03-21,3202
400024,11839,2023-04-10,4404
400025,10373,2025-04-08,528
400026,3732,2025-03-29,1279
400027,466,2025-04-14,2958
400028,3517,2025-01-14,443
400029,6287,2023-11-11,4679
400030,520,2024-05-28,2857
400031,8284,2024-12-17,3797
400032,9395,2023-09-22,796
400033,4886,2024-06-04,385
400034,482,2024-06-12,1814
400035,501,2023-05-30,2269
400036,9052,2024-12-09,4425
400037,7519,2024-03-06,2466
400038,6334,2023-04-06,744
400039,3776,2023-06-17,4722
400040,8469,2024-07-19,1783
400041,3340,2023-08-13,3544
400042,2013,2024-02-22,3670
400043,9643,2023-03-02,214
400044,7767,2024-10-04,571
400045,1291,2025-01-25,3975
400046,7263,2024-12-25,2826
400047,8354,2023-01-28,1359
400048,11786,2023-04-18,4435
400049,8621,2025-02-24,1699
400050,4451,2023-06-30,4713
400051,554,2025-04-27,1799
400052,8722,2023-01-13,3386
400053,9509,2025-04-08,3063
400054,1490,2023-07-25,790
400055,9977,2024-12-06,965
400056,1446,2024-05-18,3319
400057,9844,2023-08-17,924
400058,1875,2023-02-04,1905
400059,1788,2024-10-10,169
400060,310,2023-06-22,3248
400061,7774,2024-09-02,4701
400062,3293,2023-11-19,3843
400063,514,2023-04-24,3716
400064,7110,2024-12-13,1758
400065,1326,2024-11-25,4818
400066,7773,2024-02-26,640
400067,3233,2024-06-19,3268
400068,10876,2024-08-07,553
400069,6200,2023-01-21,1002
400070,8178,2025-04-04,2535
400071,2668,2024-09-11,380
400072,11877,2025-05-02,3230
400073,2128,2024-08-21,4426
400074,1518,2023-09-18,2692
400075,1521,2023-02-13,2655
400076,9585,2024-01-23,1099
400077,5675,2023-09-30,2518
400078,9482,2023-01-31,4543
400079,10449,2024-05-09,4610
400080,730,2023-03-14,2648
400081,8231,2024-06-06,2199
400082,8963,2023-01-24,909
400083,4142,2023-02-24,4199
400084,410,2024-08-28,4897
400085,1118,2023-05-21,2753
400086,204,2023-08-20,3864
400087,5443,2023-11-01,2774
400088,911,2024-01-15,4536
400089,732,2024-11-15,4634
400090,943,2023-04-20,2773
400091,6056,2024-11-13,2615
400092,5618,2024-10-13,758
400093,4112,2024-09-24,438
400094,10414,2023-07-22,2140
400095,8033,2024-08-02,2425
400096,7787,2024-04-12,3132
400097,4549,2024-02-18,1860
400098,8107,2024-05-06,1264
400099,2235,2024-05-20,2365
400100,5228,2025-03-03,737
400101,10678,2025-03-30,3881
400102,7421,2024-02-05,2019
400103,649,2023-10-20,1995
400104,1051,2023-12-11,1642
400105,1873,2023-03-29,2127
400106,1710,2023-05-19,2049
400107,3841,2023-04-23,3908
400108,11190,2023-08-07,4424
400109,10396,2023-08-11,3310
400110,10262,2023-10-29,1085
400111,10302,2025-06-13,4211
400112,5369,2023-11-26,705
400113,5192,2023-08-18,507
400114,6961,2023-07-16,1637
400115,11827,2024-05-02,4115
400116,3917,2025-05-31,889
400117,9005,2023-01-10,4731
400118,3231,2024-11-19,1699
400119,11944,2023-06-06,4435
400120,1342,2025-06-17,1880
400121,8263,2024-11-29,2534
400122,449,2025-05-10,1827
400123,9191,2023-08-06,3529
400124,5019,2023-06-14,2954
400125,10805,2023-03-08,786
400126,7357,2024-10-04,4980
400127,189,2025-06-10,4349
400128,11094,2025-03-27,3813
400129,5369,2024-05-15,3829
400130,8087,2024-10-15,3854
400131,4903,2023-11-12,3215
400132,2779,2024-10-27,105
400133,6303,2023-01-04,4867
400134,740,2023-03-24,80
400135,936,2025-04-17,4886
400136,5807,2024-07-10,3088
400137,83,2024-08-11,766
400138,11590,2023-04-22,2718
400139,10925,2023-07-26,1288
400140,11555,2023-05-25,3977
400141,6310,2024-10-25,394
400142,3419,2023-11-10,4540
400143,4423,2024-04-07,4400
400144,11978,2024-06-02,441
400145,194,2023-09-26,3816
400146,2866,2024-11-17,2154
400147,6058,2024-05-06,633
400148,2870,2024-10-09,3310
400149,8083,2024-04-23,1441
400150,8655,2023-01-08,3697
400151,11986,2023-06-24,476
400152,816,2025-04-25,4960
400153,881,2023-03-07,2895
400154,4602,2024-03-19,3147
400155,11645,2024-07-18,349
400156,7972,2025-02-13,4966
400157,7430,2025-06-16,4502
400158,4292,2023-06-30,3009
400159,5172,2023-08-01,4786
400160,11318,2024-02-11,769
400161,1375,2024-02-17,4549
400162,4649,2025-05-11,3659
400163,11529,2024-06-07,400
400164,5079,2023-01-08,2952
400165,7788,2023-07-05,2391
400166,10429,2023-12-13,4335
400167,9610,2024-05-26,2515
400168,1567,2024-09-03,3308
400169,10310,2023-09-30,2777
400170,3258,2024-04-27,2654
400171,7996,2023-07-25,4986
400172,4191,2023-05-20,3146
400173,6212,2023-03-11,375
400174,9818,2024-09-13,3013
400175,8798,2025-03-20,1855
400176,11171,2023-09-02,93
400177,6008,2024-11-26,1992
400178,9649,2024-07-15,773
400179,10813,2024-12-18,4788
400180,3264,2024-04-06,1061
400181,7851,2023-12-27,4768
400182,2530,2025-05-26,4062
400183,1080,2025-01-14,665
400184,4942,2024-04-05,4874
400185,3170,2023-10-24,2546
400186,2579,2024-12-18,1774
400187,6429,2025-01-25,3431
400188,5891,2024-12-28,4833
400189,5097,2023-06-15,1861
400190,2239,2023-09-05,3191
400191,1079,2024-10-28,3725
400192,8432,2024-09-24,3139
400193,10442,2023-04-01,2105
400194,1281,2024-08-30,2297
400195,4652,2024-03-20,3589
400196,4727,2023-11-11,2769
400197,3226,2024-10-17,3792
400198,415,2024-10-27,4027
400199,6047,2023-06-21,1159
400200,1820,2024-07-01,2927
400201,647,2024-08-11,1869
400202,3033,2023-01-21,3161
400203,5458,2024-01-29,3783
400204,443,2024-10-18,1380
400205,8143,2023-09-06,4127
400206,6536,2025-06-04,695
400207,4265,2024-09-11,4327
400208,10612,2023-04-04,1379
400209,9270,2023-04-02,4006
400210,9917,2025-03-02,4883
400211,9492,2024-07-14,4851
400212,732,2025-05-18,4193
400213,8374,2023-09-05,505
400214,6873,2024-12-06,4032
400215,11527,2025-06-07,3612
400216,7259,2023-07-02,4102
400217,674,2024-02-27,1417
400218,1279,2024-08-21,4632
400219,7309,2024-11-27,815
400220,6380,2025-02-23,582
400221,724,2023-05-11,423
400222,1065,2023-10-02,2670
400223,10274,2025-05-03,153
400224,5962,2023-03-30,2307
400225,9919,2024-09-11,1452
400226,2125,2024-12-07,4449
400227,9276,2024-11-23,1123
400228,1281,2023-10-04,739
400229,6006,2023-12-28,4206
400230,4940,2024-11-07,994
400231,5809,2023-07-22,934
400232,11069,2024-04-13,2286
400233,7921,2023-01-11,2974
400234,9335,2024-11-03,240
400235,8416,2024-12-19,2893
400236,6771,2023-11-13,668
400237,7215,2023-12-19,241
400238,4698,2025-03-24,3582
400239,6010,2025-06-02,4456
400240,4482,2024-04-16,2677
400241,1497,2023-11-09,1121
400242,2143,2023-01-11,1196
400243,1646,2025-03-28,1492
400244,10772,2024-08-09,4739
400245,11113,2023-02-28,3980
400246,11541,2023-11-23,3495
400247,1648,2024-02-21,1455
400248,6758,2024-01-04,3796
400249,7892,2023-03-15,1318
400250,2723,2024-09-06,421
400251,7688,2024-10-26,284
400252,958,2023-07-09,4315
400253,5692,2025-03-19,2809
400254,10444,2024-05-29,1145
400255,4075,2023-06-22,1916
400256,8343,2023-12-14,1066
400257,6558,2023-02-26,973
400258,9462,2023-01-05,2068
400259,3899,2023-05-20,3942
400260,1491,2025-01-27,3696
400261,6309,2025-03-13,3567
