plan_id,plan_name,monthly_fee,data_limit_gb
100001,Plan_1,50,100
100002,Plan_2,10,10
100003,Plan_3,10,20
100004,Plan_4,20,100
100005,Plan_5,50,100
100006,Plan_6,20,20
100007,Plan_7,30,10
100008,Plan_8,40,100
100009,Plan_9,10,20
100010,Plan_10,10,20
100011,Plan_11,10,20
100012,Plan_12,20,10
100013,Plan_13,20,10
100014,Plan_14,30,10
100015,Plan_15,50,20
100016,Plan_16,50,20
100017,Plan_17,10,50
100018,Plan_18,20,10
100019,Plan_19,10,5
100020,Plan_20,10,100
100021,Plan_21,40,100
100022,Plan_22,40,5
100023,Plan_23,50,5
100024,Plan_24,50,10
100025,Plan_25,20,100
100026,Plan_26,10,10
100027,Plan_27,40,10
100028,Plan_28,20,50
100029,Plan_29,30,10
100030,Plan_30,10,50
100031,Plan_31,10,5
100032,Plan_32,10,100
100033,Plan_33,50,50
100034,Plan_34,30,50
100035,Plan_35,10,50
100036,Plan_36,50,50
100037,Plan_37,50,100
100038,Plan_38,10,5
100039,Plan_39,20,10
100040,Plan_40,10,5
100041,Plan_41,50,5
100042,Plan_42,30,50
100043,Plan_43,10,100
100044,Plan_44,20,100
100045,Plan_45,50,5
100046,Plan_46,20,50
100047,Plan_47,30,50
100048,Plan_48,40,20
100049,Plan_49,30,100
100050,Plan_50,10,50
100051,Plan_51,10,100
100052,Plan_52,20,50
100053,Plan_53,30,100
100054,Plan_54,30,10
100055,Plan_55,10,5
100056,Plan_56,30,100
100057,Plan_57,10,5
100058,Plan_58,50,100
100059,Plan_59,30,5
100060,Plan_60,50,20
100061,Plan_61,20,10
100062,Plan_62,40,100
100063,Plan_63,40,20
100064,Plan_64,10,100
100065,Plan_65,20,50
100066,Plan_66,20,10
100067,Plan_67,20,10
100068,Plan_68,50,100
100069,Plan_69,50,10
100070,Plan_70,10,10
100071,Plan_71,40,20
100072,Plan_72,30,20
100073,Plan_73,40,5
100074,Plan_74,10,20
100075,Plan_75,10,20
100076,Plan_76,20,100
100077,Plan_77,50,50
100078,Plan_78,10,20
100079,Plan_79,10,20
100080,Plan_80,20,50
100081,Plan_81,40,50
100082,Plan_82,40,5
100083,Plan_83,50,5
100084,Plan_84,10,10
100085,Plan_85,40,5
100086,Plan_86,10,10
100087,Plan_87,10,100
100088,Plan_88,20,20
100089,Plan_89,40,50
100090,Plan_90,50,5
100091,Plan_91,10,50
100092,Plan_92,20,50
100093,Plan_93,10,20
100094,Plan_94,20,5
100095,Plan_95,20,10
100096,Plan_96,30,20
100097,Plan_97,30,5
100098,Plan_98,40,100
100099,Plan_99,50,10
100100,Plan_100,40,100
100101,Plan_101,10,50
100102,Plan_102,40,50
100103,Plan_103,50,10
100104,Plan_104,50,10
100105,Plan_105,50,20
100106,Plan_106,30,5
100107,Plan_107,10,10
100108,Plan_108,30,100
100109,Plan_109,10,100
100110,Plan_110,40,10
100111,Plan_111,30,20
100112,Plan_112,20,50
100113,Plan_113,50,100
100114,Plan_114,20,50
100115,Plan_115,10,10
100116,Plan_116,20,20
100117,Plan_117,50,5
100118,Plan_118,10,5
100119,Plan_119,30,50
100120,Plan_120,10,100
100121,Plan_121,10,100
100122,Plan_122,30,100
100123,Plan_123,50,5
100124,Plan_124,30,20
