subscription_id,customer_id,plan_id,start_date
200001,4167,108480,2025-05-11
200002,5756,107577,2023-08-07
200003,7092,105384,2024-11-06
200004,4666,100119,2025-06-07
200005,4769,104298,2024-09-27
200006,2119,107852,2023-07-09
200007,8423,100947,2024-09-21
200008,163,103099,2023-05-01
200009,7401,109079,2025-06-08
200010,8292,104012,2025-03-21
200011,10867,106390,2025-04-02
200012,4200,104026,2025-01-27
200013,1356,107013,2024-05-19
200014,8508,105335,2025-02-03
200015,10227,108235,2025-04-28
200016,4375,104278,2023-10-01
200017,683,109025,2024-07-29
200018,10797,109381,2023-11-20
200019,9628,103533,2023-01-25
200020,3276,103051,2024-10-02
200021,552,107556,2024-10-03
200022,6091,107139,2023-01-06
200023,11686,105608,2023-06-08
200024,6936,100887,2023-05-08
200025,5925,102605,2023-07-31
200026,10633,100619,2023-05-14
200027,9946,109800,2024-11-05
200028,10199,106590,2024-01-26
200029,3209,103588,2023-01-22
200030,9837,102706,2023-09-09
200031,5870,106547,2023-12-28
200032,4338,100053,2023-09-08
200033,481,107212,2024-09-03
200034,10530,109719,2023-05-01
200035,5788,104509,2025-04-04
200036,986,102950,2024-11-30
200037,7585,103416,2023-06-17
200038,422,101925,2023-05-30
200039,10289,109983,2024-01-01
200040,3523,101531,2024-07-25
200041,5348,100072,2023-01-23
200042,4788,102098,2023-07-25
200043,1285,108712,2023-05-24
200044,11466,100639,2025-02-15
200045,11352,106300,2024-06-13
200046,2070,100909,2023-11-05
200047,8657,102039,2025-03-11
200048,11357,100534,2024-08-03
200049,3892,100917,2023-12-21
200050,4872,108695,2023-10-22
200051,11614,107345,2023-08-11
200052,8458,105881,2024-03-30
200053,7954,109831,2024-04-02
200054,3352,109616,2025-04-10
200055,8609,102464,2023-10-05
200056,11743,105399,2024-10-15
200057,11140,105365,2023-08-31
200058,8623,101720,2024-01-19
200059,1387,108779,2023-06-10
200060,7963,102382,2025-05-30
200061,11117,103077,2025-02-22
200062,8442,102263,2024-03-23
200063,4498,102155,2024-08-23
200064,5817,101614,2024-05-31
200065,5625,103026,2025-06-10
200066,5937,105983,2024-10-24
200067,7652,106862,2025-03-03
200068,8649,108618,2024-11-08
200069,11860,101299,2023-12-11
200070,5546,109696,2023-02-12
200071,3993,100879,2024-06-09
200072,2031,109424,2024-03-09
200073,11927,105380,2025-05-15
200074,4970,104290,2025-01-29
200075,8222,107430,2024-02-01
200076,1693,105548,2023-01-16
200077,11610,104820,2024-06-08
200078,9084,104616,2024-08-22
200079,1887,105331,2025-01-24
